D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/rnn/rnn_train.py
0000 	 train_loss:0.27029065787792206 	 test_loss: 0.19178520143032074 	 test_min_loss: 0.19178520143032074 	 difference: -0.07850545644760132 	  com_ac0 	 relative_ac0
0350 	 train_loss:0.18458815189925107 	 test_loss: 0.1841968148946762 	 test_min_loss: 0.14078587293624878 	 difference: -0.00039133700457485987 	  com_ac0 	 relative_ac0
0355 	 train_loss:0.18472655388441953 	 test_loss: 0.1841627061367035 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005638477477160342 	  com_ac0 	 relative_ac0
0360 	 train_loss:0.18457492102276196 	 test_loss: 0.18410736322402954 	 test_min_loss: 0.14078587293624878 	 difference: -0.00046755779873242087 	  com_ac0 	 relative_ac0
0365 	 train_loss:0.18462302874435077 	 test_loss: 0.18383438885211945 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007886398922313242 	  com_ac0 	 relative_ac0
0370 	 train_loss:0.18460974097251892 	 test_loss: 0.18407244980335236 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005372911691665649 	  com_ac0 	 relative_ac0
0375 	 train_loss:0.18481835316527973 	 test_loss: 0.18402454257011414 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007938105951655894 	  com_ac0 	 relative_ac0
0380 	 train_loss:0.18467031554742294 	 test_loss: 0.18410775065422058 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005625648932023608 	  com_ac0 	 relative_ac0
0385 	 train_loss:0.18453665348616513 	 test_loss: 0.18397600948810577 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005606439980593569 	  com_ac0 	 relative_ac0
0390 	 train_loss:0.1845514395020225 	 test_loss: 0.18409085273742676 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004605867645957329 	  com_ac0 	 relative_ac0
0395 	 train_loss:0.18461955270983957 	 test_loss: 0.1839052438735962 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007143088362433769 	  com_ac0 	 relative_ac0
0400 	 train_loss:0.18472639268094843 	 test_loss: 0.18416887521743774 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005575174635106817 	  com_ac0 	 relative_ac0
0405 	 train_loss:0.18458529764955695 	 test_loss: 0.1841113567352295 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004739409143274531 	  com_ac0 	 relative_ac0
0410 	 train_loss:0.18473256040703168 	 test_loss: 0.18391135334968567 	 test_min_loss: 0.14078587293624878 	 difference: -0.0008212070573460073 	  com_ac0 	 relative_ac0
0415 	 train_loss:0.1846964738585732 	 test_loss: 0.18422013521194458 	 test_min_loss: 0.14078587293624878 	 difference: -0.00047633864662863235 	  com_ac0 	 relative_ac0
0420 	 train_loss:0.18480683321302588 	 test_loss: 0.18402093648910522 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007858967239206538 	  com_ac0 	 relative_ac0
0425 	 train_loss:0.18479336391795764 	 test_loss: 0.18415862321853638 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006347406994212657 	  com_ac0 	 relative_ac0
0430 	 train_loss:0.18460301648486743 	 test_loss: 0.18395763635635376 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006453801285136729 	  com_ac0 	 relative_ac0
0435 	 train_loss:0.18482388014143164 	 test_loss: 0.18419532477855682 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006285553628748164 	  com_ac0 	 relative_ac0
0440 	 train_loss:0.18457626619122244 	 test_loss: 0.1840236783027649 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005525878884575508 	  com_ac0 	 relative_ac0
0445 	 train_loss:0.1847367828542536 	 test_loss: 0.18409007787704468 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006467049772089228 	  com_ac0 	 relative_ac0
0450 	 train_loss:0.18460214002565903 	 test_loss: 0.18403379619121552 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005683438344435132 	  com_ac0 	 relative_ac0
0455 	 train_loss:0.18450511314652182 	 test_loss: 0.18406681716442108 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004382959821007393 	  com_ac0 	 relative_ac0
0460 	 train_loss:0.18450043553655798 	 test_loss: 0.18417878448963165 	 test_min_loss: 0.14078587293624878 	 difference: -0.00032165104692633006 	  com_ac0 	 relative_ac0
0465 	 train_loss:0.18455103717067026 	 test_loss: 0.1841873973608017 	 test_min_loss: 0.14078587293624878 	 difference: -0.00036363980986856004 	  com_ac0 	 relative_ac0
0470 	 train_loss:0.18486757305535403 	 test_loss: 0.18391036987304688 	 test_min_loss: 0.14078587293624878 	 difference: -0.0009572031823071592 	  com_ac0 	 relative_ac0
0475 	 train_loss:0.18453143266114322 	 test_loss: 0.18386361002922058 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006678226319226377 	  com_ac0 	 relative_ac0
0480 	 train_loss:0.18463307348164645 	 test_loss: 0.18422876298427582 	 test_min_loss: 0.14078587293624878 	 difference: -0.00040431049737063574 	  com_ac0 	 relative_ac0
0485 	 train_loss:0.18463080715049396 	 test_loss: 0.18396420776844025 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006665993820537119 	  com_ac0 	 relative_ac0
0490 	 train_loss:0.18466212261806836 	 test_loss: 0.18421688675880432 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004452358592640371 	  com_ac0 	 relative_ac0
0495 	 train_loss:0.18461045758290726 	 test_loss: 0.18392790853977203 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006825490431352221 	  com_ac0 	 relative_ac0
0500 	 train_loss:0.18472868339581924 	 test_loss: 0.18404974043369293 	 test_min_loss: 0.14078587293624878 	 difference: -0.000678942962126311 	  com_ac0 	 relative_ac0
0505 	 train_loss:0.18465254523537375 	 test_loss: 0.1840159147977829 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006366304375908516 	  com_ac0 	 relative_ac0
0510 	 train_loss:0.18484991517933932 	 test_loss: 0.18402811884880066 	 test_min_loss: 0.14078587293624878 	 difference: -0.0008217963305386655 	  com_ac0 	 relative_ac0
0515 	 train_loss:0.18456819382580844 	 test_loss: 0.18406826257705688 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004999312487515561 	  com_ac0 	 relative_ac0
0520 	 train_loss:0.17611504549329932 	 test_loss: 0.1700413078069687 	 test_min_loss: 0.14078587293624878 	 difference: -0.006073737686330627 	  com_ac0 	 relative_ac0
0525 	 train_loss:0.18518942052667792 	 test_loss: 0.18377357721328735 	 test_min_loss: 0.14078587293624878 	 difference: -0.0014158433133905635 	  com_ac0 	 relative_ac0
0530 	 train_loss:0.1846894066442143 	 test_loss: 0.1839526742696762 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007367323745380849 	  com_ac0 	 relative_ac0
0535 	 train_loss:0.18468978188254617 	 test_loss: 0.18404655158519745 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006432302973487236 	  com_ac0 	 relative_ac0
0540 	 train_loss:0.1848831610246138 	 test_loss: 0.18395628035068512 	 test_min_loss: 0.14078587293624878 	 difference: -0.0009268806739286817 	  com_ac0 	 relative_ac0
0545 	 train_loss:0.1847608820958571 	 test_loss: 0.18392187356948853 	 test_min_loss: 0.14078587293624878 	 difference: -0.000839008526368562 	  com_ac0 	 relative_ac0
0550 	 train_loss:0.1847946589643305 	 test_loss: 0.18381911516189575 	 test_min_loss: 0.14078587293624878 	 difference: -0.0009755438024347529 	  com_ac0 	 relative_ac0
0555 	 train_loss:0.18472055278041147 	 test_loss: 0.18405026197433472 	 test_min_loss: 0.14078587293624878 	 difference: -0.000670290806076751 	  com_ac0 	 relative_ac0
0560 	 train_loss:0.18482884493741122 	 test_loss: 0.1840393990278244 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007894459095868223 	  com_ac0 	 relative_ac0
0565 	 train_loss:0.184759412299503 	 test_loss: 0.18397268652915955 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007867257703434438 	  com_ac0 	 relative_ac0
0570 	 train_loss:0.18470640886913647 	 test_loss: 0.18392688035964966 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007795285094868154 	  com_ac0 	 relative_ac0
0575 	 train_loss:0.1847417097200047 	 test_loss: 0.18403466045856476 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007070492614399404 	  com_ac0 	 relative_ac0
0580 	 train_loss:0.1847450096498836 	 test_loss: 0.18407537043094635 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006696392189372569 	  com_ac0 	 relative_ac0
0585 	 train_loss:0.18456098708239468 	 test_loss: 0.18409687280654907 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004641142758456118 	  com_ac0 	 relative_ac0
0590 	 train_loss:0.1848091957244006 	 test_loss: 0.18394190073013306 	 test_min_loss: 0.14078587293624878 	 difference: -0.0008672949942675479 	  com_ac0 	 relative_ac0
0595 	 train_loss:0.18468362905762412 	 test_loss: 0.18400095403194427 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006826750256798408 	  com_ac0 	 relative_ac0
0600 	 train_loss:0.18466555394909598 	 test_loss: 0.1841859221458435 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004796318032524727 	  com_ac0 	 relative_ac0
0605 	 train_loss:0.18470547009598126 	 test_loss: 0.18411271274089813 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005927573550831289 	  com_ac0 	 relative_ac0
0610 	 train_loss:0.18468284606933594 	 test_loss: 0.18412233889102936 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005605071783065796 	  com_ac0 	 relative_ac0
0615 	 train_loss:0.18487741594964807 	 test_loss: 0.18389610946178436 	 test_min_loss: 0.14078587293624878 	 difference: -0.000981306487863709 	  com_ac0 	 relative_ac0
0620 	 train_loss:0.1846490908752788 	 test_loss: 0.183962881565094 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006862093101848155 	  com_ac0 	 relative_ac0
0625 	 train_loss:0.1847662261941216 	 test_loss: 0.18404698371887207 	 test_min_loss: 0.14078587293624878 	 difference: -0.000719242475249543 	  com_ac0 	 relative_ac0
0630 	 train_loss:0.18466163087974896 	 test_loss: 0.1839834451675415 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006781857122074575 	  com_ac0 	 relative_ac0
0635 	 train_loss:0.18468188562176444 	 test_loss: 0.18393325805664062 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007486275651238106 	  com_ac0 	 relative_ac0
0640 	 train_loss:0.18456798656420273 	 test_loss: 0.18391399085521698 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006539957089857495 	  com_ac0 	 relative_ac0
0645 	 train_loss:0.18471963839097458 	 test_loss: 0.18413224816322327 	 test_min_loss: 0.14078587293624878 	 difference: -0.000587390227751311 	  com_ac0 	 relative_ac0
0650 	 train_loss:0.18456104668703946 	 test_loss: 0.18384450674057007 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007165399464693911 	  com_ac0 	 relative_ac0
0655 	 train_loss:0.1846018894152208 	 test_loss: 0.18401432037353516 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005875690416856372 	  com_ac0 	 relative_ac0
0660 	 train_loss:0.18459812890399585 	 test_loss: 0.18402740359306335 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005707253109324961 	  com_ac0 	 relative_ac0
0665 	 train_loss:0.1847694922577251 	 test_loss: 0.18420907855033875 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005604137073863535 	  com_ac0 	 relative_ac0
0670 	 train_loss:0.18479652567343277 	 test_loss: 0.18385984003543854 	 test_min_loss: 0.14078587293624878 	 difference: -0.0009366856379942334 	  com_ac0 	 relative_ac0
0675 	 train_loss:0.1847490736029365 	 test_loss: 0.18398317694664001 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007658966562964775 	  com_ac0 	 relative_ac0
0680 	 train_loss:0.18461442535573785 	 test_loss: 0.18404802680015564 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005663985555822149 	  com_ac0 	 relative_ac0
0685 	 train_loss:0.18459448895671152 	 test_loss: 0.18401877582073212 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005757131359793999 	  com_ac0 	 relative_ac0
0690 	 train_loss:0.18472729758782822 	 test_loss: 0.1839621216058731 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007651759819551074 	  com_ac0 	 relative_ac0
0695 	 train_loss:0.18462296507575296 	 test_loss: 0.18408572673797607 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005372383377768852 	  com_ac0 	 relative_ac0
0700 	 train_loss:0.184631886807355 	 test_loss: 0.18389467895030975 	 test_min_loss: 0.14078587293624878 	 difference: -0.0007372078570452578 	  com_ac0 	 relative_ac0
0705 	 train_loss:0.184652717276053 	 test_loss: 0.18402481079101562 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006279064850373828 	  com_ac0 	 relative_ac0
0710 	 train_loss:0.1846693754196167 	 test_loss: 0.1839732676744461 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006961077451705933 	  com_ac0 	 relative_ac0
0715 	 train_loss:0.18468866835940967 	 test_loss: 0.18405817449092865 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006304938684810191 	  com_ac0 	 relative_ac0
0720 	 train_loss:0.1846971633759412 	 test_loss: 0.18395493924617767 	 test_min_loss: 0.14078587293624878 	 difference: -0.000742224129763519 	  com_ac0 	 relative_ac0
0725 	 train_loss:0.18485240096395666 	 test_loss: 0.18456093966960907 	 test_min_loss: 0.14078587293624878 	 difference: -0.0002914612943475947 	  com_ac0 	 relative_ac0
0730 	 train_loss:0.17614099789749493 	 test_loss: 0.1714136153459549 	 test_min_loss: 0.14078587293624878 	 difference: -0.004727382551540038 	  com_ac0 	 relative_ac0
0735 	 train_loss:0.16758127104152332 	 test_loss: 0.16407038271427155 	 test_min_loss: 0.14078587293624878 	 difference: -0.003510888327251771 	  com_ac0 	 relative_ac0
0740 	 train_loss:0.16437217728658157 	 test_loss: 0.1645204871892929 	 test_min_loss: 0.14078587293624878 	 difference: 0.00014830990271133548 	  com_ac0 	 relative_ac0
0745 	 train_loss:0.1727854609489441 	 test_loss: 0.1758253574371338 	 test_min_loss: 0.14078587293624878 	 difference: 0.0030398964881896973 	  com_ac0 	 relative_ac0
0750 	 train_loss:0.16842550987547095 	 test_loss: 0.1664178967475891 	 test_min_loss: 0.14078587293624878 	 difference: -0.0020076131278818354 	  com_ac0 	 relative_ac0
0755 	 train_loss:0.18037296425212512 	 test_loss: 0.18903982639312744 	 test_min_loss: 0.14078587293624878 	 difference: 0.008666862141002318 	  com_ac0 	 relative_ac0
0760 	 train_loss:0.18475694277069785 	 test_loss: 0.18443173170089722 	 test_min_loss: 0.14078587293624878 	 difference: -0.0003252110698006294 	  com_ac0 	 relative_ac0
0765 	 train_loss:0.1847317327152599 	 test_loss: 0.1841534823179245 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005782503973353892 	  com_ac0 	 relative_ac0
0770 	 train_loss:0.18473776226693933 	 test_loss: 0.18452435731887817 	 test_min_loss: 0.14078587293624878 	 difference: -0.00021340494806115773 	  com_ac0 	 relative_ac0
0775 	 train_loss:0.18474198200485922 	 test_loss: 0.1842338740825653 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005081079222939155 	  com_ac0 	 relative_ac0
0780 	 train_loss:0.18466988070444626 	 test_loss: 0.18409796059131622 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005719201131300367 	  com_ac0 	 relative_ac0
